ComponentType,Currency,CurrencyAmount,Date
invoice,EUR,844,2016-07-18 12:31:11
return,USD,879,2016-07-21 17:52:37
order,GBP,23,2016-04-08 21:25:09
order,EUR,490,2016-07-28 20:06:55
invoice,GBP,605,2016-04-24 22:31:07
return,USD,283,2016-02-10 23:05:00
invoice,USD,262,2016-02-25 21:31:33
invoice,USD,865,2016-03-08 23:11:54
return,EUR,806,2016-03-06 11:18:32
order,GBP,427,2016-08-08 05:01:41
order,USD,98,2016-05-31 16:20:28
order,GBP,784,2016-04-04 16:35:47
return,USD,61,2016-10-12 10:25:34
invoice,USD,888,2016-05-09 03:14:53
order,EUR,313,2016-06-10 19:39:43
invoice,USD,211,2016-10-02 17:03:02
invoice,GBP,566,2016-11-18 17:25:48
return,EUR,900,2016-08-21 14:05:14
invoice,EUR,590,2016-06-30 12:36:44
return,USD,718,2016-09-26 13:44:03
return,USD,445,2016-08-19 22:07:19
invoice,USD,631,2016-10-21 23:16:28
invoice,GBP,197,2016-07-11 05:05:42
return,GBP,23,2016-04-13 21:52:01
return,USD,985,2016-01-23 03:01:11
invoice,GBP,146,2016-07-31 19:07:43
return,EUR,525,2016-09-16 18:20:02
return,GBP,101,2016-11-18 22:25:28
order,EUR,121,2016-09-05 11:23:48
invoice,GBP,335,2016-08-28 16:29:40
return,EUR,908,2016-11-15 06:19:59
invoice,EUR,431,2016-07-07 12:03:26
invoice,GBP,225,2016-10-18 11:51:04
return,GBP,70,2016-09-06 18:09:32
return,EUR,676,2016-08-18 03:47:47
order,GBP,63,2016-11-10 19:04:27
return,GBP,957,2016-10-01 06:29:57
invoice,USD,81,2016-02-09 06:57:59
order,USD,979,2016-11-15 03:13:21
invoice,GBP,902,2016-03-13 19:00:03
invoice,EUR,465,2016-11-28 02:35:56
order,USD,693,2016-12-05 08:25:28
invoice,USD,845,2016-12-03 05:45:37
invoice,EUR,64,2016-03-28 06:12:26
order,GBP,781,2016-11-04 19:45:34
return,GBP,755,2016-08-27 11:20:02
invoice,USD,41,2016-03-16 02:18:12
return,EUR,115,2016-08-13 23:05:36
order,EUR,742,2016-09-09 14:29:37
order,EUR,786,2016-03-11 07:07:36
order,EUR,527,2016-09-11 15:54:55
return,GBP,412,2016-03-15 19:40:16
return,EUR,304,2016-02-18 22:31:03
order,USD,337,2016-12-24 17:01:16
order,EUR,451,2016-09-10 02:51:24
return,USD,202,2016-01-13 13:56:55
return,GBP,233,2016-10-02 09:00:58
return,USD,577,2016-01-20 12:17:53
order,USD,971,2016-11-02 05:14:59
return,USD,413,2016-07-10 22:59:55
order,GBP,95,2016-09-26 23:13:11
order,USD,989,2016-02-03 00:35:11
return,USD,517,2016-05-20 06:19:47
return,EUR,913,2016-10-14 02:32:51
order,EUR,476,2016-01-29 13:58:30
invoice,GBP,189,2016-09-29 13:06:54
return,USD,174,2016-07-28 09:04:25
invoice,GBP,373,2016-08-23 10:44:18
invoice,EUR,39,2016-12-07 20:25:10
return,EUR,764,2016-07-16 23:21:27
invoice,USD,481,2016-02-13 20:47:26
invoice,EUR,822,2016-08-04 14:30:06
return,GBP,851,2016-03-17 06:52:28
return,GBP,81,2016-12-16 17:06:49
return,GBP,183,2016-06-30 21:02:30
invoice,EUR,992,2016-02-05 19:36:00
order,USD,335,2016-03-14 07:20:26
invoice,GBP,687,2016-09-23 06:32:47
invoice,GBP,984,2016-07-19 05:14:53
return,EUR,965,2016-09-21 08:51:14
return,USD,778,2016-04-06 01:09:02
return,USD,957,2016-03-30 14:21:52
return,GBP,725,2016-07-21 11:15:22
invoice,EUR,756,2016-06-19 20:58:59
invoice,EUR,551,2016-09-09 20:06:40
order,EUR,702,2016-04-08 11:33:25
return,GBP,597,2016-06-18 23:37:57
invoice,USD,418,2016-09-21 00:33:50
invoice,EUR,405,2016-03-15 08:12:24
order,GBP,553,2016-10-19 05:42:11
invoice,EUR,885,2016-03-12 04:45:00
order,USD,618,2016-06-26 16:39:21
return,GBP,925,2016-05-02 12:21:01
invoice,USD,840,2016-10-06 14:31:50
invoice,GBP,519,2016-07-18 01:07:05
order,GBP,448,2016-06-19 17:40:33
invoice,EUR,597,2016-05-03 11:45:17
order,GBP,872,2016-10-17 05:18:11
order,GBP,891,2016-05-03 07:52:39
return,GBP,285,2016-07-16 14:53:45
invoice,USD,91,2016-08-16 18:22:45
invoice,GBP,91,2016-05-20 12:59:05
invoice,EUR,322,2016-03-15 07:06:03
invoice,USD,186,2016-08-15 06:12:27
return,EUR,202,2016-09-19 08:47:16
order,GBP,338,2016-06-16 20:17:22
order,EUR,815,2016-03-09 07:49:32
order,EUR,547,2016-04-24 19:45:12
invoice,USD,62,2016-03-05 07:59:52
return,USD,522,2016-06-22 07:51:23
order,USD,877,2016-10-10 17:02:06
order,EUR,273,2016-07-29 15:45:40
return,EUR,330,2016-04-02 14:50:30
return,EUR,418,2016-05-09 16:13:35
order,EUR,341,2016-01-29 13:31:35
return,USD,848,2016-05-07 01:34:47
return,EUR,801,2016-03-29 17:59:40
order,USD,716,2016-03-09 11:07:30
invoice,USD,673,2016-01-23 09:13:23
order,USD,18,2016-04-14 20:49:41
order,GBP,255,2016-03-22 16:03:00
return,EUR,957,2016-07-05 20:34:06
invoice,GBP,396,2016-02-24 23:17:33
invoice,GBP,390,2016-01-02 15:30:17
order,GBP,530,2016-07-31 17:55:55
return,GBP,393,2016-08-26 02:59:29
order,GBP,11,2016-03-06 22:15:37
return,GBP,335,2016-05-03 10:21:53
order,EUR,528,2016-05-11 08:43:18
order,GBP,8,2016-10-25 16:11:26
return,USD,972,2016-03-16 16:38:54
invoice,EUR,575,2016-05-15 21:07:06
invoice,GBP,65,2016-07-26 00:43:49
return,EUR,290,2016-10-31 07:09:23
order,USD,977,2016-09-30 05:03:56
return,USD,909,2016-07-17 11:32:53
invoice,USD,300,2016-05-18 01:45:48
order,EUR,300,2016-03-18 12:29:52
order,USD,678,2016-11-23 11:06:51
return,USD,885,2016-08-24 18:24:22
return,USD,295,2016-06-19 16:19:03
invoice,USD,368,2016-02-20 13:04:34
order,GBP,991,2016-03-16 04:51:38
order,EUR,482,2016-09-13 15:48:26
order,EUR,768,2016-07-19 11:39:28
order,GBP,639,2016-02-05 14:15:45
return,GBP,106,2016-07-17 12:13:14
order,EUR,172,2016-07-24 20:19:48
invoice,EUR,87,2016-01-16 03:45:44
order,USD,104,2016-08-19 12:22:17
order,USD,344,2016-03-27 10:00:59
invoice,EUR,696,2016-04-10 08:36:51
order,USD,916,2016-12-22 08:59:03
invoice,GBP,691,2016-09-13 06:27:30
return,GBP,940,2016-05-15 10:47:54
invoice,USD,702,2016-05-31 13:03:22
return,EUR,227,2016-01-25 17:50:22
return,USD,14,2016-12-25 06:36:36
return,USD,769,2016-10-20 10:42:41
return,GBP,532,2016-10-07 17:37:39
invoice,GBP,453,2016-09-05 03:59:19
order,USD,463,2016-06-17 23:05:57
return,GBP,945,2016-04-25 13:39:35
return,EUR,668,2016-12-22 15:32:04
return,GBP,122,2016-07-19 13:07:38
invoice,EUR,628,2016-06-08 02:37:01
invoice,USD,205,2016-02-09 13:48:54
return,EUR,170,2016-01-04 18:38:04
order,USD,80,2016-06-28 16:02:05
invoice,GBP,339,2016-11-14 14:40:50
order,USD,649,2016-12-24 16:22:43
invoice,USD,23,2016-04-09 08:42:32
order,USD,569,2016-10-21 20:00:08
order,GBP,292,2016-12-14 18:03:18
return,USD,481,2016-01-07 04:18:35
order,EUR,478,2016-06-09 08:15:58
return,GBP,840,2016-11-08 09:12:31
return,USD,750,2016-04-24 15:20:06
return,USD,936,2016-12-29 04:27:55
invoice,USD,872,2016-12-14 00:06:17
return,EUR,783,2016-04-06 05:41:27
invoice,GBP,775,2016-05-14 10:29:15
invoice,EUR,44,2016-12-17 09:35:08
return,USD,452,2016-01-13 22:56:06
invoice,EUR,324,2016-02-06 09:05:44
order,GBP,839,2016-09-12 00:43:24
return,USD,727,2016-01-19 14:22:39
order,GBP,14,2016-09-01 03:01:30
invoice,USD,339,2016-08-21 23:23:14
invoice,GBP,228,2016-04-02 00:02:15
return,GBP,880,2016-05-29 20:40:54
order,GBP,594,2016-12-21 07:39:08
invoice,GBP,431,2016-09-20 10:15:19
return,GBP,748,2016-01-03 20:18:05
return,EUR,408,2016-07-20 08:02:06
return,USD,203,2016-07-20 00:53:07
return,USD,240,2016-09-21 22:56:43
return,USD,141,2016-06-22 13:37:39
invoice,USD,435,2016-07-13 04:44:24
order,EUR,963,2016-10-17 09:42:18
order,GBP,477,2016-05-09 23:02:26
invoice,USD,97,2016-08-23 23:31:06
return,GBP,920,2016-08-04 09:17:09
order,EUR,899,2016-07-05 18:03:15
invoice,USD,781,2016-11-12 09:38:37
order,GBP,550,2016-02-18 11:02:24
order,GBP,516,2016-03-25 02:16:59
invoice,EUR,489,2016-04-10 21:36:09
order,USD,619,2016-03-24 22:20:35
invoice,GBP,529,2016-01-30 13:21:11
invoice,GBP,925,2016-10-27 22:34:42
order,GBP,554,2016-01-14 13:42:10
invoice,USD,892,2016-01-18 07:29:21
order,EUR,652,2016-11-16 01:02:22
order,GBP,545,2016-01-28 07:19:33
invoice,EUR,892,2016-11-20 09:04:51
return,EUR,235,2016-07-11 01:44:12
order,EUR,308,2016-10-30 14:06:17
return,USD,874,2016-02-23 16:12:42
order,USD,787,2016-06-17 06:09:17
return,USD,599,2016-06-18 21:49:43
invoice,EUR,913,2016-02-28 15:40:27
return,USD,529,2016-08-08 06:17:10
return,EUR,153,2016-08-08 00:22:11
return,EUR,322,2016-07-27 19:20:20
invoice,EUR,212,2016-07-16 23:26:59
invoice,EUR,206,2016-10-10 01:27:37
invoice,USD,861,2016-05-11 04:25:21
return,USD,776,2016-01-30 16:06:36
invoice,GBP,23,2016-01-21 17:32:32
order,GBP,453,2016-08-16 13:04:15
return,GBP,870,2016-05-29 00:42:34
invoice,EUR,163,2016-11-18 03:59:38
order,USD,898,2016-11-04 23:07:08
order,GBP,894,2016-03-27 20:08:41
order,USD,740,2016-02-03 08:04:41
order,USD,845,2016-12-27 20:44:20
order,USD,266,2016-09-16 10:02:34
return,EUR,564,2016-08-14 18:05:06
order,GBP,970,2016-02-01 19:54:56
order,USD,428,2016-01-26 03:11:22
invoice,GBP,678,2016-02-08 14:33:16
invoice,USD,28,2016-12-27 16:28:26
invoice,USD,224,2016-01-04 14:53:43
return,GBP,334,2016-04-04 00:09:23
return,GBP,731,2016-04-04 23:31:02
return,USD,88,2016-05-19 22:18:25
invoice,GBP,494,2016-02-22 20:35:33
return,EUR,831,2016-03-23 09:31:05
return,EUR,513,2016-12-18 01:42:34
return,USD,66,2016-01-11 23:13:55
invoice,EUR,130,2016-02-14 03:46:02
invoice,GBP,987,2016-07-19 09:48:16
return,GBP,6,2016-09-08 22:15:33
invoice,EUR,984,2016-11-01 09:42:52
return,GBP,935,2016-04-25 01:35:39
order,GBP,464,2016-09-11 21:59:45
order,USD,136,2016-10-13 22:34:21
order,GBP,327,2016-12-28 00:21:40
order,USD,399,2016-05-26 14:32:00
order,EUR,470,2016-09-21 22:24:19
invoice,USD,753,2016-01-05 20:50:15
order,GBP,447,2016-11-16 20:43:21
invoice,EUR,579,2016-07-24 13:54:56
order,GBP,417,2016-11-26 06:12:29
order,GBP,38,2016-11-07 21:58:40
invoice,EUR,283,2016-06-14 08:28:44
invoice,GBP,463,2016-10-11 07:32:17
order,GBP,13,2016-04-18 06:15:41
order,USD,113,2016-08-15 16:52:41
invoice,GBP,303,2016-02-03 01:06:20
order,GBP,650,2016-09-16 20:07:24
order,EUR,664,2016-11-29 07:10:26
invoice,EUR,604,2016-04-12 10:41:41
return,GBP,371,2016-02-25 00:26:59
invoice,EUR,485,2016-06-02 15:24:42
invoice,USD,827,2016-08-07 18:08:32
invoice,GBP,337,2016-12-02 09:40:06
order,EUR,961,2016-01-17 13:30:22
return,EUR,510,2016-08-20 05:37:54
invoice,USD,412,2016-02-14 03:39:52
order,USD,393,2016-09-22 01:12:00
invoice,USD,266,2016-04-09 00:04:21
order,EUR,728,2016-12-27 22:54:57
order,EUR,666,2016-12-24 13:35:01
invoice,EUR,962,2016-09-12 00:24:07
order,GBP,225,2016-10-12 13:46:34
order,USD,633,2016-12-23 21:54:05
invoice,GBP,129,2016-12-02 07:06:51
return,EUR,479,2016-03-24 21:47:47
order,EUR,511,2016-01-03 01:04:30
order,USD,401,2016-09-04 05:34:09
return,USD,501,2016-03-30 07:11:04
order,USD,772,2016-11-11 13:25:45
invoice,USD,805,2016-05-26 18:02:26
return,EUR,964,2016-12-19 05:31:31
invoice,GBP,207,2016-12-14 19:53:55
order,GBP,135,2016-02-29 14:06:15
return,GBP,357,2016-08-03 11:50:45
order,USD,703,2016-01-10 02:46:00
return,EUR,626,2016-09-07 00:41:20
invoice,GBP,530,2016-09-15 01:35:25
invoice,EUR,14,2016-05-28 14:47:27
invoice,USD,27,2016-12-21 22:55:07
order,GBP,685,2016-06-09 20:51:55
invoice,USD,818,2016-08-21 05:26:56
return,USD,99,2016-04-06 09:20:52
order,EUR,319,2016-11-11 01:01:24
order,GBP,628,2016-06-16 21:08:41
invoice,GBP,470,2016-10-28 08:00:35
order,USD,498,2016-10-17 21:19:03
return,GBP,113,2016-05-23 01:40:58
order,GBP,39,2016-07-26 22:25:05
order,USD,382,2016-08-09 07:10:25
order,EUR,647,2016-03-22 22:58:43
return,GBP,145,2016-04-04 02:31:24
invoice,GBP,256,2016-05-17 20:02:42
return,EUR,327,2016-12-17 16:36:56
return,USD,753,2016-02-21 08:02:50
order,EUR,515,2016-04-10 19:35:36
invoice,GBP,97,2016-05-05 13:37:59
order,EUR,468,2016-10-07 03:29:47
order,EUR,969,2016-06-23 01:11:34
return,USD,498,2016-11-07 17:39:04
invoice,GBP,725,2016-08-26 02:56:17
order,USD,907,2016-02-11 14:10:46
order,USD,609,2016-01-07 02:37:22
return,GBP,408,2016-08-18 10:39:50
invoice,EUR,8,2016-06-21 12:25:50
return,USD,312,2016-03-02 17:29:43
return,USD,599,2016-08-11 20:23:17
order,USD,849,2016-06-06 15:40:36
return,GBP,97,2016-12-03 03:12:31
invoice,GBP,757,2016-10-15 10:16:59
order,GBP,206,2016-05-08 13:16:49
invoice,GBP,123,2016-03-10 21:53:28
return,GBP,415,2016-02-10 18:33:55
order,USD,734,2016-05-14 01:57:46
order,EUR,825,2016-04-24 04:04:22
invoice,EUR,562,2016-05-31 01:18:18
return,USD,641,2016-08-26 15:49:34
order,GBP,309,2016-07-14 20:24:39
invoice,EUR,900,2016-06-16 11:37:05
return,GBP,619,2016-05-24 17:56:28
order,EUR,192,2016-07-23 03:11:37
order,EUR,728,2016-05-27 00:24:12
invoice,USD,817,2016-06-24 19:55:22
invoice,GBP,111,2016-09-10 01:05:10
invoice,GBP,651,2016-09-27 05:03:43
return,EUR,784,2016-10-11 16:58:40
invoice,GBP,862,2016-09-24 03:49:52
return,USD,544,2016-01-02 11:22:57
return,EUR,177,2016-04-28 06:14:28
order,USD,286,2016-05-20 02:36:08
invoice,GBP,214,2016-04-07 01:13:45
return,USD,660,2016-02-23 18:48:00
invoice,EUR,332,2016-03-06 03:31:33
order,USD,276,2016-01-19 19:56:18
return,EUR,37,2016-10-05 10:05:08
order,GBP,394,2016-07-24 23:16:47
return,USD,579,2016-12-27 20:31:09
invoice,EUR,325,2016-01-28 09:25:29
order,USD,303,2016-11-16 23:39:10
order,USD,140,2016-09-28 11:42:56
invoice,USD,420,2016-10-30 21:44:27
order,GBP,658,2016-11-28 06:57:36
invoice,EUR,872,2016-08-23 17:05:37
invoice,GBP,599,2016-06-28 08:26:37
return,USD,8,2016-11-01 21:09:05
order,EUR,950,2016-04-30 16:22:49
return,GBP,102,2016-01-19 04:02:15
invoice,USD,845,2016-08-05 06:24:11
return,USD,688,2016-02-01 14:35:31
return,USD,664,2016-12-22 03:23:48
invoice,GBP,599,2016-07-30 22:29:33
invoice,EUR,646,2016-12-12 02:57:49
invoice,EUR,962,2016-08-05 01:28:37
invoice,GBP,989,2016-07-10 13:55:44
order,EUR,690,2016-08-04 06:16:17
order,EUR,995,2016-02-08 03:36:34
invoice,EUR,672,2016-05-17 10:26:47
order,GBP,226,2016-06-02 17:35:56
return,GBP,921,2016-03-05 19:58:25
invoice,USD,947,2016-02-25 18:19:00
order,EUR,647,2016-07-21 09:05:48
order,USD,420,2016-03-09 07:48:43
return,GBP,163,2016-05-27 11:54:53
return,USD,258,2016-11-02 15:53:01
return,USD,825,2016-05-10 09:59:25
invoice,GBP,403,2016-12-16 07:46:43
invoice,GBP,583,2016-09-26 22:28:09
invoice,EUR,283,2016-03-09 13:08:00
order,EUR,624,2016-12-17 04:42:40
return,EUR,477,2016-12-24 01:29:25
order,EUR,528,2016-10-23 19:13:44
invoice,EUR,15,2016-09-30 02:04:03
invoice,GBP,85,2016-12-22 05:49:50
return,GBP,571,2016-09-01 17:57:41
invoice,GBP,561,2016-11-06 00:02:39
order,EUR,407,2016-05-18 14:02:45
return,USD,121,2016-08-28 21:39:07
invoice,USD,974,2016-03-03 02:13:30
order,GBP,996,2016-01-08 01:15:07
invoice,GBP,378,2016-06-14 15:10:17
return,GBP,875,2016-05-25 15:03:59
invoice,USD,450,2016-07-31 22:33:01
order,USD,736,2016-09-11 07:20:18
order,GBP,92,2016-02-10 21:17:59
order,EUR,832,2016-07-28 17:18:12
invoice,GBP,587,2016-01-02 05:03:08
invoice,GBP,90,2016-02-04 10:40:47
return,GBP,596,2016-05-21 18:05:01
invoice,EUR,973,2016-07-11 15:15:11
invoice,USD,498,2016-04-27 03:00:15
return,GBP,758,2016-03-08 20:29:28
invoice,USD,605,2016-07-26 17:21:01
invoice,GBP,916,2016-03-28 16:57:23
invoice,EUR,21,2016-06-01 11:03:15
invoice,EUR,77,2016-10-06 05:23:46
order,GBP,973,2016-10-19 13:29:57
order,GBP,422,2016-09-22 12:34:05
return,USD,504,2016-11-10 19:43:10
invoice,EUR,565,2016-09-27 18:23:39
invoice,EUR,520,2016-08-01 05:02:50
invoice,EUR,534,2016-01-15 21:40:24
invoice,USD,780,2016-03-05 17:24:19
return,GBP,782,2016-10-31 13:30:46
invoice,GBP,432,2016-06-29 16:38:59
return,EUR,5,2016-11-23 19:52:47
order,EUR,252,2016-06-17 20:09:56
return,GBP,331,2016-01-29 23:03:32
invoice,EUR,302,2016-01-15 10:14:34
invoice,USD,953,2016-07-01 05:16:19
invoice,GBP,605,2016-02-17 06:02:15
return,USD,292,2016-06-30 16:48:50
return,USD,699,2016-12-26 21:42:20
order,USD,834,2016-04-04 07:06:07
invoice,USD,610,2016-02-12 18:14:35
invoice,USD,111,2016-09-03 18:41:30
order,EUR,82,2016-04-04 17:50:26
order,GBP,757,2016-07-03 20:51:01
invoice,EUR,235,2016-07-26 20:51:02
invoice,EUR,110,2016-01-22 00:34:24
invoice,EUR,437,2016-06-17 01:42:04
return,USD,5,2016-03-18 09:06:35
order,GBP,287,2016-11-21 08:30:01
order,GBP,312,2016-04-24 10:10:16
return,EUR,939,2016-06-09 15:24:05
return,EUR,769,2016-07-07 04:29:34
return,EUR,764,2016-04-30 18:15:44
return,GBP,930,2016-11-27 23:28:36
order,EUR,44,2016-09-18 04:44:56
return,EUR,140,2016-09-10 00:12:21
order,USD,594,2016-01-23 12:14:29
return,EUR,911,2016-10-20 08:05:54
order,GBP,329,2016-01-22 13:24:58
invoice,EUR,165,2016-06-24 22:18:52
order,GBP,286,2016-12-28 21:20:13
return,USD,510,2016-07-17 15:47:12
return,EUR,226,2016-01-14 14:22:09
return,USD,931,2016-07-29 08:54:16
order,USD,501,2016-03-18 05:48:25
invoice,USD,741,2016-03-14 11:58:33
order,USD,592,2016-12-30 18:22:12
order,GBP,261,2016-06-20 04:33:54
invoice,EUR,979,2016-06-09 21:33:40
return,EUR,68,2016-05-27 03:55:06
invoice,GBP,561,2016-10-13 09:27:48
order,EUR,382,2016-10-25 03:08:59
invoice,EUR,395,2016-04-29 15:34:54
return,GBP,687,2016-12-19 09:56:41
order,USD,55,2016-12-15 16:09:24
invoice,USD,281,2016-04-14 04:04:05
return,GBP,586,2016-10-19 23:55:23
return,USD,447,2016-10-16 05:57:39
invoice,GBP,958,2016-10-03 14:57:09
